hour,1,2,3,4
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,-6.445,-18.405,-26.89
3,0.0,-0.257,-23.442,-39.892
4,0.0,-10.395,-25.766,-36.672
5,-28.069,-32.195,-34.608,-36.32
6,-16.366,-32.653,-42.18,-48.94
7,-17.576,-24.96,-29.28,-32.344
8,-8.91,-23.727,-32.395,-38.544
9,-12.303,-27.698,-36.704,-43.094
10,-16.18,-36.049,-47.671,-55.918
11,-18.248,-28.945,-35.202,-39.642
12,-17.656,-38.443,-50.603,-59.23
13,-16.081,-43.525,-59.578,-70.968
14,-14.791,-33.25,-44.048,-51.709
15,-8.792,-26.912,-37.512,-45.032
16,-16.168,-22.079,-25.538,-27.991
17,-3.068,-16.379,-24.165,-29.69
18,0.0,-5.219,-9.695,-12.871
19,0.0,-3.439,-10.495,-15.502
20,-11.181,-19.843,-24.91,-28.504
21,-9.336,-26.691,-36.843,-44.046
22,-7.993,-11.353,-13.318,-14.713
23,-17.217,-23.993,-27.957,-30.769
